,height lake,height downstream,flow lake,flow flood,flow downstream,time
604,56.1365833333333,8.39166666666666,6.9600061111111104,0,17.6811,2019-10-03
605,56.1276666666667,8.25,7.58574074074074,0,15.3336,2019-10-04
606,56.1029166666667,8.10833333333333,8.44860679012346,0,15.5436,2019-10-05
607,56.096000000000004,8.25,14.0180081172839,0,14.9397,2019-10-06
608,55.9176666666667,8.10833333333333,6.33416666666667,0,12.6339,2019-10-10
609,55.83025,8.10833333333333,5.05298611111111,0,12.6318,2019-10-11
610,55.5370833333333,8.25,4.31035277777778,0,17.7999,2019-10-12
611,55.2771666666667,7.9666666666666694,4.3475,0,12.7851,2019-10-13
612,55.210833333333305,7.825,5.46226851851852,0,12.8709,2019-10-14
613,55.444166666666696,7.9666666666666694,24.381454382716104,0,12.7665,2019-10-15
614,56.0136666666667,8.10833333333333,20.1629706481481,0,12.2541,2019-10-19
615,56.0628333333333,8.25,16.8118133333333,0,14.697000000000001,2019-10-20
616,56.092,7.9666666666666694,12.243284074074099,0,12.2172,2019-10-21
617,56.080916666666695,8.39166666666667,10.330684845678999,0,17.1402,2019-10-22
618,56.0804166666667,8.39166666666667,9.734584537037039,0,17.1543,2019-10-23
619,56.08275,8.39166666666667,10.0583175925926,0,17.2803,2019-10-24
620,56.076666666666696,8.675,11.446915802469098,0,22.5075,2019-10-25
621,56.055833333333304,9.1,29.2643137345679,0,30.3321,2019-10-26
622,56.073416666666695,9.1,34.4892733024691,0,30.9267,2019-10-27
623,56.09275,9.1,28.8714811728395,0,31.1751,2019-10-28
624,56.0516666666667,9.1,28.535069135802498,0,30.0351,2019-10-29
625,56.0850833333333,8.53333333333333,28.4218234876543,0,19.6734,2019-10-30
626,58.680666666666696,8.62777777777777,372.61592037037,0,18.6678,2019-10-31
627,60.481880000000004,9.984,107.23546488888901,0,52.15143876923079,2019-11-01
628,60.868125,10.4,109.46612962963002,0,55.269,2019-11-02
629,61.6613333333333,10.4,122.784730833333,0,54.1465697991392,2019-11-03
630,62.235222222222205,9.73333333333334,82.5594897119342,0,42.4491551020408,2019-11-04
631,62.4720833333333,10.4,79.1279885802469,0,63.4992,2019-11-05
632,62.4969166666667,10.4,57.36228950617289,0,64.0557,2019-11-06
633,62.3765833333333,10.4,49.78590987654321,0,63.3027,2019-11-07
634,62.2021666666667,10.4,46.1495206790123,0,63.9228,2019-11-08
635,61.9876666666667,10.4,38.204972530864204,0,63.7764,2019-11-09
636,64.8367894736842,10.4,98.26312514619879,0,62.3095578947368,2019-11-13
637,65.0446666666667,10.4,71.3799583333333,0,63.4635,2019-11-14
638,65.0879166666667,10.4,59.933313888888904,0,63.010329493613206,2019-11-15
639,65.0159166666667,10.4,50.52931141975311,0,63.2031,2019-11-16
640,64.8524166666667,10.4,45.0761444444444,0,63.7917,2019-11-17
641,64.6364166666667,10.4,40.4329564814815,0,65.0946,2019-11-18
642,64.3756666666667,10.4,41.411487037037,0,65.7807,2019-11-19
643,64.0980833333333,10.4,36.197674691357996,0,64.7259,2019-11-20
644,63.80075,10.4,32.533799382716104,0,63.2715,2019-11-21
645,63.4630833333333,10.4,28.998348456790104,0,63.7326,2019-11-22
646,63.1054166666667,10.4,28.7419185185185,0,64.6134,2019-11-23
647,62.7071666666667,10.4,24.445645061728396,0,65.061,2019-11-24
648,62.3075,10.4,26.2091944135802,0,65.77176976588629,2019-11-25
649,62.2655833333333,10.4,70.6126206481481,0,46.1268423281549,2019-11-26
650,62.333,10.4,49.81321475308639,0,62.821350948166895,2019-11-27
651,62.21125,10.4,53.096130555555604,0,63.3312,2019-11-28
652,62.1133333333333,10.4,49.0054700617284,0,62.6319,2019-11-29
653,61.61625,10.4,33.669837962963,0,63.7194,2019-11-30
654,61.2329230769231,9.6,22.911182051282,0,55.767323076923105,2019-12-01
655,60.909916666666696,10.4,50.7984537037037,0,61.131,2019-12-02
656,61.208916666666696,8.4,66.70271845679011,0,20.8792421052632,2019-12-03
657,61.6945833333333,8.25,58.742104691358,0,13.9479,2019-12-04
658,62.0191666666667,8.25,33.8693537037037,0,14.8272,2019-12-05
659,62.0189166666667,8.25,22.544921574074102,0,14.9835,2019-12-06
660,62.035083333333304,8.25,23.137827160493803,0,14.1915,2019-12-07
661,62.0303333333333,8.10833333333333,24.2900024691358,0,12.7593,2019-12-08
662,62.03675,8.10833333333333,23.0478005555556,0,13.0119,2019-12-09
663,62.10725,8.10833333333333,19.727799074074102,0,13.8723,2019-12-10
664,62.1488333333333,8.10833333333333,18.0043145061728,0,12.6834,2019-12-11
665,62.1885,7.9666666666666694,11.671820308642001,0,10.2633,2019-12-12
666,62.206083333333304,7.9666666666666694,7.71152777777778,0,7.9989,2019-12-13
667,62.1904166666667,7.825,7.0531649382716,0,8.0172,2019-12-14
668,62.1658333333333,7.9666666666666694,7.116310925925929,0,8.0328,2019-12-15
669,62.133545454545406,8.01818181818182,8.13882525252525,0,10.0119272727273,2019-12-16
670,62.0834545454545,8.32727272727273,9.386250572390571,0,13.6849090909091,2019-12-17
671,62.0954,7.57,16.010287037037,0,10.85688,2019-12-18
672,62.1458181818182,8.17272727272727,22.460909090909098,0,12.3159272727273,2019-12-19
673,62.2045,7.91,22.019000000000002,0,10.835999999999999,2019-12-20
674,62.247,8.08,16.3082407407407,0,10.898639999999999,2019-12-21
675,62.291000000000004,8.08,18.111157407407397,0,10.8252,2019-12-22
676,62.3453,7.91,19.183,0,10.91736,2019-12-23
677,62.5124,7.91,36.997217037037004,0,10.02276,2019-12-24
678,63.0289,8.08,54.312521851851905,0,10.12428,2019-12-25
679,63.5093,8.08,53.4597365185185,0,10.1196,2019-12-26
680,63.9853,7.74,52.3725608148148,0,10.08324,2019-12-27
681,64.5311,8.08,75.9929634074074,0,10.12608,2019-12-28
682,65.3497,8.08,97.9091548148148,0,10.12536,2019-12-29
683,66.128,8.08,96.90923000000001,0,10.13076,2019-12-30
684,67.0574,7.91,144.53644599999998,0,10.126439999999999,2019-12-31
685,61.2329230769231,9.6,22.911182051282,0,55.767323076923105,2019-01-01
686,68.7128181818182,7.70909090909091,14.669935690235699,0,8.18116363636364,2020-01-01
687,68.7882,8.08,15.961114000000002,0,11.98296,2020-01-02
688,68.8488,8.08,15.816906,0,11.877839999999999,2020-01-03
689,68.8801,7.91,13.4792060740741,0,11.89332,2020-01-04
690,68.9279,7.74,12.7680901481481,0,8.80344,2020-01-05
691,68.97,8.08,12.0160935555556,0,11.80512,2020-01-06
692,68.9862,8.08,11.8486363703704,0,10.8828,2020-01-07
693,68.997,8.08,11.3882622962963,0,11.747160000000001,2020-01-08
694,69.0062,7.91,11.4339883703704,0,11.727,2020-01-09
695,69.0109,8.08,11.0003459259259,0,11.72412,2020-01-10
696,69.0207,8.08,11.8024696296296,0,11.69856,2020-01-11
697,69.03,8.08,11.395351037037,0,11.6874,2020-01-12
698,69.0368,7.91,11.0369118518519,0,11.69496,2020-01-13
699,69.0253,8.08,8.18712933333334,0,12.2994,2020-01-14
700,69.0071,7.74,8.25776807407407,0,12.307319999999999,2020-01-15
701,68.9917,7.91,8.87791014814815,0,11.682,2020-01-16
702,68.9789,7.91,8.89478007407407,0,12.31344,2020-01-17
703,68.9598,7.91,8.81285896296297,0,11.962439999999999,2020-01-18
704,68.9518,7.91,9.26080459259259,0,8.97588,2020-01-19
705,68.9464,7.91,9.158372,0,11.662560000000001,2020-01-20
706,68.9676,7.74,9.137107037037039,0,5.84136,2020-01-21
707,69.0007,7.91,8.954819703703711,0,8.74584,2020-01-22
