Time,Date,SMP,Month,Year
42,28,1503.5,9,2021
43,28,1365.4,9,2021
44,28,1357.8,9,2021
45,28,1199,9,2021
46,28,1170,9,2021
47,28,1024.2,9,2021
48,28,1000,9,2021
1,29,1024.2,9,2021
2,29,1000,9,2021
3,29,1000,9,2021
4,29,986.5,9,2021
5,29,962,9,2021
6,29,962,9,2021
7,29,962,9,2021
8,29,962,9,2021
9,29,962,9,2021
10,29,962,9,2021
11,29,962,9,2021
12,29,986.5,9,2021
13,29,986.5,9,2021
14,29,962,9,2021
15,29,959,9,2021
16,29,950,9,2021
17,29,929.1,9,2021
18,29,929.1,9,2021
19,29,950,9,2021
20,29,940.1,9,2021
21,29,950,9,2021
22,29,950,9,2021
23,29,929.1,9,2021
24,29,929.1,9,2021
25,29,917,9,2021
26,29,917,9,2021
27,29,950,9,2021
28,29,950,9,2021
29,29,950,9,2021
30,29,958,9,2021
31,29,962,9,2021
32,29,959,9,2021
33,29,986.5,9,2021
34,29,986.5,9,2021
35,29,1170,9,2021
36,29,1266,9,2021
37,29,1357.8,9,2021
38,29,1365.4,9,2021
39,29,1365.4,9,2021
40,29,1365.4,9,2021
41,29,1365.4,9,2021
42,29,1365.4,9,2021
43,29,1365.4,9,2021
44,29,1266,9,2021
45,29,1024.2,9,2021
46,29,1170,9,2021
47,29,1000,9,2021
48,29,986.5,9,2021
1,30,1199,9,2021
2,30,1170,9,2021
3,30,1024.2,9,2021
4,30,1024.2,9,2021
5,30,1000,9,2021
6,30,1000,9,2021
7,30,986.5,9,2021
8,30,1000,9,2021
9,30,1000,9,2021
10,30,1024.2,9,2021
11,30,1024.2,9,2021
12,30,1170,9,2021
13,30,1024.2,9,2021
14,30,986.5,9,2021
15,30,958,9,2021
16,30,958,9,2021
17,30,929.1,9,2021
18,30,900,9,2021
19,30,900,9,2021
20,30,900,9,2021
21,30,900,9,2021
22,30,900,9,2021
23,30,900,9,2021
24,30,900,9,2021
25,30,900,9,2021
26,30,900,9,2021
27,30,900,9,2021
28,30,900,9,2021
29,30,900,9,2021
30,30,917,9,2021
31,30,955,9,2021
32,30,958,9,2021
33,30,962,9,2021
34,30,1010,9,2021
35,30,1024.2,9,2021
36,30,1170,9,2021
37,30,1357.8,9,2021
38,30,1266,9,2021
39,30,1024.2,9,2021
40,30,1024.2,9,2021
41,30,1024.2,9,2021
42,30,1170,9,2021
43,30,1170,9,2021
44,30,1024.2,9,2021
45,30,1000,9,2021
46,30,1000,9,2021
47,30,962,9,2021
48,30,962,9,2021
