Date time,SMP,Temperature,Wind Speed,Visibility,Cloud Cover
10/24/2021 08:00:00,1,21.1,11.3,2.1,88
10/24/2021 08:30:00,1,21.1,13.1,1.2,88
10/24/2021 09:00:00,1,21.1,11.4,1.2,88
10/24/2021 09:30:00,1,21.1,11.3,1.2,88
10/24/2021 10:00:00,1,21.1,0,1.2,88
10/24/2021 10:30:00,1,22.1,0,2.1,88
10/24/2021 11:00:00,1,22.1,9.7,4.1,88
10/24/2021 11:30:00,1,22.1,8.1,7,88
10/24/2021 12:00:00,1,24,13.1,2.2,88
10/24/2021 12:30:00,1,25,18.2,6.9,88
10/24/2021 13:00:00,1,25,0,8,88
10/24/2021 13:30:00,1,25,0,8,88
10/24/2021 14:00:00,1,25,16.8,7.9,88
10/24/2021 14:30:00,1,25,16.8,8,88
10/24/2021 15:00:00,1,25,18.6,8,88
10/24/2021 15:30:00,1,25,18.4,8,88
10/24/2021 16:00:00,883.9,25,16.7,7.9,88
10/24/2021 16:30:00,956,24,14.9,5,88
10/24/2021 17:00:00,1100,25,13.2,6,88
10/24/2021 17:30:00,1266.4,24,14.7,6.9,88
10/24/2021 18:00:00,1266.4,24.9,16.5,7.9,88
10/24/2021 18:30:00,1266.4,25,14.7,9.9,88
10/24/2021 19:00:00,956,25,16.8,9.9,88
10/24/2021 19:30:00,900,25,16.6,9.9,88
10/24/2021 20:00:00,890,23,15,9.9,88
10/24/2021 20:30:00,890,22.1,14.9,7,88
10/24/2021 21:00:00,850,22.1,8.1,7,88
10/24/2021 21:30:00,850,22.1,11.4,7,88
10/24/2021 22:00:00,1,22.1,15,7,88
10/24/2021 22:30:00,1,22.1,15,6,88
10/24/2021 23:00:00,1,22,15,6,88
10/24/2021 23:30:00,1,22,14.8,4.1,88
