Date time,Temperature,Wind Speed,Visibility,Cloud Cover
1/2/2016 4:00,19.7,14.4,8.1,89.1
1/2/2016 4:30,20,12.6,6,88
1/2/2016 5:00,19,11.1,5,89.1
1/2/2016 5:30,19.1,11.1,5,88
1/2/2016 6:00,20,11.1,5,89.1
1/2/2016 6:30,20,9.2,5,88
1/2/2016 7:00,19.7,5.4,12.4,94.3
1/2/2016 7:30,20,7.4,2.1,88
1/2/2016 8:00,20.1,3.5,3,89.1
1/2/2016 8:30,20.1,9.2,3.1,88
1/2/2016 9:00,21,5.4,3.1,89.1
1/2/2016 9:30,21,10.8,5,88
1/2/2016 10:00,21.1,7.9,12.9,94.3
1/2/2016 10:30,22,10.9,5,88
1/2/2016 11:00,22,9.3,5,89.1
1/2/2016 11:30,21.1,10.9,4.1,88
1/2/2016 12:00,21.1,12.8,4.1,89.1
1/2/2016 12:30,21.1,12.8,4.1,88
1/2/2016 13:00,20.7,7.3,6.8,94.3
1/2/2016 13:30,21.1,16.4,2.2,88
1/2/2016 14:00,21,9.4,2.1,89.1
1/2/2016 14:30,21,9.5,2.2,88
1/2/2016 15:00,21,11.2,2.1,89.1
1/2/2016 15:30,21,9.5,2.2,88
1/2/2016 16:00,20.2,9.4,6.3,94.3
1/2/2016 16:30,21,9.5,2.2,88
1/2/2016 17:00,21,9.3,2.1,89.1
1/2/2016 17:30,20.1,9.3,2.2,88
1/2/2016 18:00,20.1,7.6,2.1,89.1
1/2/2016 18:30,21,5.5,3.2,88
1/2/2016 19:00,20.2,5.5,6.7,94.3
1/2/2016 19:30,20.1,7.6,3.1,88
1/2/2016 20:00,21,7.5,2.1,89.1
1/2/2016 20:30,21,9.1,2.2,88
1/2/2016 21:00,21,9.2,3.1,89.1
1/2/2016 21:30,21,7.3,3.1,88
1/2/2016 22:00,20.1,5.3,6.7,94.3
1/2/2016 22:30,21,7.4,2.1,88
1/2/2016 23:00,20,7.5,2.1,89.1
1/2/2016 23:30,20,7.4,3.1,88
1/3/2016 0:00,20,9.3,3,89.1
1/3/2016 0:30,20,5.4,2.1,88
1/3/2016 1:00,20.1,7.4,6.7,94.3
1/3/2016 1:30,20,7.4,2.1,88
1/3/2016 2:00,20,9.2,3,89.1
1/3/2016 2:30,20,7.3,3.1,88
1/3/2016 3:00,20,7.5,2.1,89.1
1/3/2016 3:30,20,7.4,3.1,88
1/3/2016 4:00,20.1,9.1,6.3,94.3
1/3/2016 4:30,20,10.8,3.1,88
1/3/2016 5:00,20,9.2,3,89.1
1/3/2016 5:30,20,7.3,2.1,88
1/3/2016 6:00,20,7.5,3,89.1
1/3/2016 6:30,20,7.3,2.1,88
1/3/2016 7:00,20.1,5.2,6.3,94.3
1/3/2016 7:30,21,5.2,3.1,88
1/3/2016 8:00,21,5.4,3.1,89.1
1/3/2016 8:30,21,5.5,3.2,88
1/3/2016 9:00,21,7.6,5.1,89.1
1/3/2016 9:30,22,7.5,6.1,88
1/3/2016 10:00,22,7.4,8.1,94.3
1/3/2016 10:30,22.1,5.3,6.1,88
1/3/2016 11:00,22.1,9.2,4.1,89.1
1/3/2016 11:30,22.1,5.3,4.2,88
1/3/2016 12:00,23,5.4,4.1,89.1
1/3/2016 12:30,23,5.5,4.1,88
1/3/2016 13:00,23,4.5,12.9,94.3
1/3/2016 13:30,23,5.6,5.1,88
1/3/2016 14:00,24,5.5,5,89.1
1/3/2016 14:30,23.9,5.7,5.1,88
1/3/2016 15:00,24,9.3,5,89.1
