,date,time,value,date time
118,2018-01-05,23,999,2018-01-05 23
119,2018-01-05,24,999,2018-01-05 24
120,2018-01-06,1,    1 002,2018-01-06 1
121,2018-01-06,2,999,2018-01-06 2
122,2018-01-06,3,970.3,2018-01-06 3
123,2018-01-06,4,970.3,2018-01-06 4
124,2018-01-06,5,970.3,2018-01-06 5
125,2018-01-06,6,954.5,2018-01-06 6
126,2018-01-06,7,950,2018-01-06 7
127,2018-01-06,8,970.3,2018-01-06 8
128,2018-01-06,9,970.3,2018-01-06 9
129,2018-01-06,10,970.3,2018-01-06 10
130,2018-01-06,11,999,2018-01-06 11
131,2018-01-06,12,999,2018-01-06 12
132,2018-01-06,13,    1 032.6,2018-01-06 13
133,2018-01-06,14,999,2018-01-06 14
134,2018-01-06,15,    1 049,2018-01-06 15
135,2018-01-06,16,    1 280,2018-01-06 16
136,2018-01-06,17,    1 032.6,2018-01-06 17
137,2018-01-06,18,970.3,2018-01-06 18
138,2018-01-06,19,970.3,2018-01-06 19
139,2018-01-06,20,970.3,2018-01-06 20
140,2018-01-06,21,970.3,2018-01-06 21
141,2018-01-06,22,    1 002,2018-01-06 22
142,2018-01-06,23,999,2018-01-06 23
143,2018-01-06,24,999,2018-01-06 24
144,2018-01-07,1,999,2018-01-07 1
145,2018-01-07,2,949.5,2018-01-07 2
146,2018-01-07,3,949.5,2018-01-07 3
147,2018-01-07,4,949.5,2018-01-07 4
148,2018-01-07,5,933.8,2018-01-07 5
149,2018-01-07,6,933.8,2018-01-07 6
150,2018-01-07,7,890.4,2018-01-07 7
151,2018-01-07,8,854,2018-01-07 8
152,2018-01-07,9,854,2018-01-07 9
153,2018-01-07,10,840,2018-01-07 10
154,2018-01-07,11,899,2018-01-07 11
155,2018-01-07,12,850,2018-01-07 12
156,2018-01-07,13,800,2018-01-07 13
157,2018-01-07,14,720,2018-01-07 14
158,2018-01-07,15,750,2018-01-07 15
159,2018-01-07,16,890,2018-01-07 16
160,2018-01-07,17,949.5,2018-01-07 17
161,2018-01-07,18,954.5,2018-01-07 18
162,2018-01-07,19,    1 037.2,2018-01-07 19
163,2018-01-07,20,    1 037.2,2018-01-07 20
164,2018-01-07,21,    1 036.5,2018-01-07 21
165,2018-01-07,22,    1 036.5,2018-01-07 22
166,2018-01-07,23,    1 001,2018-01-07 23
167,2018-01-07,24,949.5,2018-01-07 24
168,2018-01-08,1,826,2018-01-08 1
169,2018-01-08,2,700,2018-01-08 2
170,2018-01-08,3,542,2018-01-08 3
171,2018-01-08,4,499,2018-01-08 4
172,2018-01-08,5,608,2018-01-08 5
173,2018-01-08,6,787,2018-01-08 6
174,2018-01-08,7,853.9,2018-01-08 7
175,2018-01-08,8,901.3,2018-01-08 8
176,2018-01-08,9,983,2018-01-08 9
