,Time,day,SMP,month,year,Date
144,1,4,890.2,9,2021,2021-09-04
145,2,4,922.0,9,2021,2021-09-04
146,3,4,954.5,9,2021,2021-09-04
147,4,4,954.5,9,2021,2021-09-04
148,5,4,954.5,9,2021,2021-09-04
149,6,4,922.0,9,2021,2021-09-04
150,7,4,954.5,9,2021,2021-09-04
151,8,4,940.1,9,2021,2021-09-04
152,9,4,900.0,9,2021,2021-09-04
153,10,4,895.0,9,2021,2021-09-04
154,11,4,890.2,9,2021,2021-09-04
155,12,4,870.0,9,2021,2021-09-04
156,13,4,895.0,9,2021,2021-09-04
157,14,4,895.0,9,2021,2021-09-04
158,15,4,895.0,9,2021,2021-09-04
159,16,4,890.2,9,2021,2021-09-04
160,17,4,870.0,9,2021,2021-09-04
161,18,4,854.0,9,2021,2021-09-04
162,19,4,870.0,9,2021,2021-09-04
163,20,4,850.0,9,2021,2021-09-04
164,21,4,801.0,9,2021,2021-09-04
165,22,4,801.0,9,2021,2021-09-04
166,23,4,1.0,9,2021,2021-09-04
167,24,4,1.0,9,2021,2021-09-04
168,25,4,1.0,9,2021,2021-09-04
169,26,4,500.0,9,2021,2021-09-04
170,27,4,710.0,9,2021,2021-09-04
171,28,4,629.0,9,2021,2021-09-04
172,29,4,725.0,9,2021,2021-09-04
173,30,4,815.0,9,2021,2021-09-04
174,31,4,850.0,9,2021,2021-09-04
175,32,4,870.0,9,2021,2021-09-04
176,33,4,870.0,9,2021,2021-09-04
177,34,4,870.0,9,2021,2021-09-04
178,35,4,870.0,9,2021,2021-09-04
179,36,4,999.0,9,2021,2021-09-04
180,37,4,999.0,9,2021,2021-09-04
181,38,4,1024.2,9,2021,2021-09-04
182,39,4,962.0,9,2021,2021-09-04
183,40,4,922.0,9,2021,2021-09-04
184,41,4,962.0,9,2021,2021-09-04
185,42,4,999.0,9,2021,2021-09-04
186,43,4,999.0,9,2021,2021-09-04
187,44,4,1202.5,9,2021,2021-09-04
188,45,4,1266.0,9,2021,2021-09-04
189,46,4,1266.0,9,2021,2021-09-04
190,47,4,1202.5,9,2021,2021-09-04
191,48,4,1199.0,9,2021,2021-09-04
192,1,5,962.0,9,2021,2021-09-05
193,2,5,925.0,9,2021,2021-09-05
194,3,5,925.0,9,2021,2021-09-05
195,4,5,925.0,9,2021,2021-09-05
196,5,5,986.5,9,2021,2021-09-05
197,6,5,1002.6,9,2021,2021-09-05
198,7,5,962.0,9,2021,2021-09-05
199,8,5,940.1,9,2021,2021-09-05
200,9,5,1098.2,9,2021,2021-09-05
201,10,5,1202.5,9,2021,2021-09-05
202,11,5,1202.5,9,2021,2021-09-05
203,12,5,1024.2,9,2021,2021-09-05
204,13,5,960.0,9,2021,2021-09-05
205,14,5,925.0,9,2021,2021-09-05
206,15,5,895.0,9,2021,2021-09-05
207,16,5,870.0,9,2021,2021-09-05
208,17,5,870.0,9,2021,2021-09-05
209,18,5,850.0,9,2021,2021-09-05
210,19,5,750.0,9,2021,2021-09-05
211,20,5,500.0,9,2021,2021-09-05
212,21,5,1.0,9,2021,2021-09-05
213,22,5,1.0,9,2021,2021-09-05
214,23,5,1.0,9,2021,2021-09-05
215,24,5,1.0,9,2021,2021-09-05
216,25,5,1.0,9,2021,2021-09-05
217,26,5,1.0,9,2021,2021-09-05
218,27,5,1.0,9,2021,2021-09-05
219,28,5,1.0,9,2021,2021-09-05
220,29,5,1.0,9,2021,2021-09-05
221,30,5,1.0,9,2021,2021-09-05
222,31,5,1.0,9,2021,2021-09-05
223,32,5,600.0,9,2021,2021-09-05
224,33,5,800.0,9,2021,2021-09-05
225,34,5,800.0,9,2021,2021-09-05
226,35,5,870.0,9,2021,2021-09-05
227,36,5,925.0,9,2021,2021-09-05
228,37,5,962.0,9,2021,2021-09-05
229,38,5,1266.0,9,2021,2021-09-05
230,39,5,895.0,9,2021,2021-09-05
231,40,5,850.0,9,2021,2021-09-05
232,41,5,850.0,9,2021,2021-09-05
233,42,5,800.0,9,2021,2021-09-05
234,43,5,800.0,9,2021,2021-09-05
235,44,5,800.0,9,2021,2021-09-05
236,45,5,854.0,9,2021,2021-09-05
237,46,5,854.1,9,2021,2021-09-05
238,47,5,854.0,9,2021,2021-09-05
239,48,5,800.0,9,2021,2021-09-05
240,1,6,550.0,9,2021,2021-09-06
241,2,6,500.0,9,2021,2021-09-06
242,3,6,1.0,9,2021,2021-09-06
243,4,6,500.0,9,2021,2021-09-06
244,5,6,500.0,9,2021,2021-09-06
245,6,6,1.0,9,2021,2021-09-06
246,7,6,350.0,9,2021,2021-09-06
247,8,6,500.0,9,2021,2021-09-06
248,9,6,500.0,9,2021,2021-09-06
249,10,6,1.0,9,2021,2021-09-06
250,11,6,1.0,9,2021,2021-09-06
251,12,6,1.0,9,2021,2021-09-06
252,13,6,700.0,9,2021,2021-09-06
253,14,6,500.0,9,2021,2021-09-06
254,15,6,1.0,9,2021,2021-09-06
255,16,6,1.0,9,2021,2021-09-06
256,17,6,1.0,9,2021,2021-09-06
257,18,6,1.0,9,2021,2021-09-06
258,19,6,1.0,9,2021,2021-09-06
259,20,6,1.0,9,2021,2021-09-06
260,21,6,1.0,9,2021,2021-09-06
261,22,6,1.0,9,2021,2021-09-06
262,23,6,1.0,9,2021,2021-09-06
263,24,6,1.0,9,2021,2021-09-06
264,25,6,1.0,9,2021,2021-09-06
265,26,6,1.0,9,2021,2021-09-06
266,27,6,1.0,9,2021,2021-09-06
267,28,6,500.0,9,2021,2021-09-06
268,29,6,1.0,9,2021,2021-09-06
269,30,6,500.0,9,2021,2021-09-06
270,31,6,800.0,9,2021,2021-09-06
271,32,6,848.0,9,2021,2021-09-06
272,33,6,853.9,9,2021,2021-09-06
273,34,6,890.0,9,2021,2021-09-06
274,35,6,890.0,9,2021,2021-09-06
275,36,6,890.0,9,2021,2021-09-06
276,37,6,900.0,9,2021,2021-09-06
277,38,6,902.0,9,2021,2021-09-06
278,39,6,900.0,9,2021,2021-09-06
279,40,6,853.9,9,2021,2021-09-06
280,41,6,864.7,9,2021,2021-09-06
281,42,6,890.0,9,2021,2021-09-06
282,43,6,895.0,9,2021,2021-09-06
283,44,6,890.0,9,2021,2021-09-06
284,45,6,895.0,9,2021,2021-09-06
285,46,6,890.0,9,2021,2021-09-06
286,47,6,895.0,9,2021,2021-09-06
287,48,6,890.0,9,2021,2021-09-06
288,1,7,930.1,9,2021,2021-09-07
289,2,7,890.0,9,2021,2021-09-07
290,3,7,854.1,9,2021,2021-09-07
291,4,7,854.1,9,2021,2021-09-07
292,5,7,854.1,9,2021,2021-09-07
293,6,7,854.1,9,2021,2021-09-07
294,7,7,890.0,9,2021,2021-09-07
295,8,7,800.0,9,2021,2021-09-07
296,9,7,849.0,9,2021,2021-09-07
297,10,7,848.0,9,2021,2021-09-07
298,11,7,848.0,9,2021,2021-09-07
299,12,7,854.1,9,2021,2021-09-07
300,13,7,900.0,9,2021,2021-09-07
301,14,7,854.0,9,2021,2021-09-07
302,15,7,800.0,9,2021,2021-09-07
303,16,7,850.0,9,2021,2021-09-07
304,17,7,800.0,9,2021,2021-09-07
305,18,7,780.0,9,2021,2021-09-07
306,19,7,700.0,9,2021,2021-09-07
307,20,7,650.0,9,2021,2021-09-07
308,21,7,500.0,9,2021,2021-09-07
309,22,7,650.0,9,2021,2021-09-07
310,23,7,650.0,9,2021,2021-09-07
311,24,7,500.0,9,2021,2021-09-07
312,25,7,1.0,9,2021,2021-09-07
313,26,7,1.0,9,2021,2021-09-07
314,27,7,650.0,9,2021,2021-09-07
315,28,7,500.0,9,2021,2021-09-07
316,29,7,1.0,9,2021,2021-09-07
317,30,7,500.0,9,2021,2021-09-07
318,31,7,700.0,9,2021,2021-09-07
319,32,7,749.0,9,2021,2021-09-07
320,33,7,800.0,9,2021,2021-09-07
321,34,7,850.0,9,2021,2021-09-07
322,35,7,854.1,9,2021,2021-09-07
323,36,7,948.0,9,2021,2021-09-07
324,37,7,962.0,9,2021,2021-09-07
325,38,7,1170.0,9,2021,2021-09-07
326,39,7,948.0,9,2021,2021-09-07
327,40,7,890.0,9,2021,2021-09-07
328,41,7,854.1,9,2021,2021-09-07
329,42,7,850.0,9,2021,2021-09-07
330,43,7,780.0,9,2021,2021-09-07
331,44,7,723.0,9,2021,2021-09-07
332,45,7,723.0,9,2021,2021-09-07
333,46,7,650.0,9,2021,2021-09-07
334,47,7,650.0,9,2021,2021-09-07
335,48,7,650.0,9,2021,2021-09-07
336,1,8,749.0,9,2021,2021-09-08
